,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220414P00100000,100.0,USD,0.04,-0.010000002000000001,-20.000004,159.0,28322,0.04,0.05,REGULAR,1649894400,1643397577,1.10547322265625,False,P
1,SPY220414P00110000,110.0,USD,0.06,0.0,0.0,24.0,18362,0.04,0.05,REGULAR,1649894400,1643397250,1.0390673046875,False,P
2,SPY220414P00120000,120.0,USD,0.06,-0.010000002000000001,-14.285716,16.0,14018,0.04,0.06,REGULAR,1649894400,1643395480,0.9843751562499999,False,P
3,SPY220414P00130000,130.0,USD,0.07,0.0,0.0,1.0,3351,0.06,0.07,REGULAR,1649894400,1643209726,0.94726615234375,False,P
4,SPY220414P00140000,140.0,USD,0.12,0.0,0.0,62.0,1298,0.07,0.09,REGULAR,1649894400,1643312842,0.9101571484375001,False,P
5,SPY220414P00150000,150.0,USD,0.12,-0.030000009,-20.000004,105.0,3038,0.09,0.11,REGULAR,1649894400,1643401850,0.87695435546875,False,P
6,SPY220414P00160000,160.0,USD,0.16,-0.030000001000000002,-15.7894745,11.0,3519,0.11,0.13,REGULAR,1649894400,1643383206,0.84179845703125,False,P
7,SPY220414P00170000,170.0,USD,0.18,0.0,0.0,102.0,1813,0.14,0.16,REGULAR,1649894400,1643388341,0.8134784277343751,False,P
8,SPY220414P00180000,180.0,USD,0.18,-0.10999998500000001,-37.93103,66.0,815,0.17,0.2,REGULAR,1649894400,1643404285,0.7851583984375,False,P
9,SPY220414P00190000,190.0,USD,0.22,-0.030000001000000002,-12.0,193.0,785,0.22,0.23,REGULAR,1649894400,1643404183,0.7578149218750001,False,P
10,SPY220414P00200000,200.0,USD,0.26,-0.14000002,-35.000004,95.0,2639,0.26,0.28,REGULAR,1649894400,1643404140,0.7304714453125,False,P
11,SPY220414P00210000,210.0,USD,0.38,-0.03999999,-9.523808,7.0,873,0.31,0.33,REGULAR,1649894400,1643400799,0.703616245117187,False,P
12,SPY220414P00220000,220.0,USD,0.44,-0.13,-22.807016,4.0,766,0.37,0.39,REGULAR,1649894400,1643396775,0.678225874023437,False,P
13,SPY220414P00230000,230.0,USD,0.48,-0.13000003000000002,-21.311478,16.0,1240,0.44,0.46,REGULAR,1649894400,1643402219,0.653323779296875,False,P
14,SPY220414P00235000,235.0,USD,0.49,-0.07999998,-14.035085,119.0,503,0.48,0.5,REGULAR,1649894400,1643404228,0.6411168701171871,False,P
15,SPY220414P00240000,240.0,USD,0.53,-0.17000002,-24.285716999999998,255.0,550,0.52,0.54,REGULAR,1649894400,1643403654,0.6289099609375001,False,P
16,SPY220414P00245000,245.0,USD,0.8,0.0,0.0,759.0,1596,0.56,0.58,REGULAR,1649894400,1643227761,0.6162147753906251,False,P
17,SPY220414P00250000,250.0,USD,0.76,-0.07999998,-9.523808,10.0,562,0.6000000000000001,0.63,REGULAR,1649894400,1643385738,0.604007866210937,False,P
18,SPY220414P00255000,255.0,USD,0.8200000000000001,-0.13999999,-14.583333,2.0,12501,0.65,0.68,REGULAR,1649894400,1643382947,0.592045095214843,False,P
19,SPY220414P00260000,260.0,USD,0.75,-0.23000002,-23.46939,20.0,1555,0.7000000000000001,0.73,REGULAR,1649894400,1643402950,0.579838186035156,False,P
20,SPY220414P00265000,265.0,USD,0.78,-0.17000002,-17.89474,75.0,332,0.76,0.79,REGULAR,1649894400,1643402958,0.568607829589843,False,P
21,SPY220414P00270000,270.0,USD,0.86,-0.25,-22.522522,4602.0,4964,0.8200000000000001,0.85,REGULAR,1649894400,1643403252,0.556889196777343,False,P
22,SPY220414P00275000,275.0,USD,0.92,0.00999999,1.0989,67.0,821,0.88,0.91,REGULAR,1649894400,1643403172,0.544682287597656,False,P
23,SPY220414P00280000,280.0,USD,0.99,-0.30999994000000003,-23.846151,5115.0,4936,0.9500000000000001,0.98,REGULAR,1649894400,1643402902,0.533451931152343,False,P
24,SPY220414P00285000,285.0,USD,1.05,-0.17000008,-13.934432,60.0,391,1.02,1.05,REGULAR,1649894400,1643398225,0.521611229248046,False,P
25,SPY220414P00290000,290.0,USD,1.34,-0.38,-22.093021,78.0,614,1.1,1.13,REGULAR,1649894400,1643399470,0.510380872802734,False,P
26,SPY220414P00295000,295.0,USD,1.17,-0.30000007,-20.408169,72.0,740,1.19,1.22,REGULAR,1649894400,1643403644,0.500615345458984,False,P
27,SPY220414P00300000,300.0,USD,1.27,-0.44000006,-25.730997,433.0,4106,1.28,1.31,REGULAR,1649894400,1643403778,0.48926291992187504,False,P
28,SPY220414P00305000,305.0,USD,1.37,-0.62,-31.15578,72.0,1204,1.38,1.4100000000000001,REGULAR,1649894400,1643403644,0.47815463256835905,False,P
29,SPY220414P00310000,310.0,USD,1.51,-0.5399999600000001,-26.341461,65.0,1167,1.49,1.52,REGULAR,1649894400,1643400160,0.46729048339843704,False,P
30,SPY220414P00315000,315.0,USD,1.62,-0.9,-35.714283,9.0,1334,1.6099999999999999,1.6400000000000001,REGULAR,1649894400,1643403398,0.45654840332031205,False,P
31,SPY220414P00320000,320.0,USD,2.13,-0.26999998000000003,-11.249999,296.0,7085,1.74,1.77,REGULAR,1649894400,1643399638,0.445928392333984,False,P
32,SPY220414P00325000,325.0,USD,1.9,-0.6999999,-26.923075,49.0,2394,1.8900000000000001,1.92,REGULAR,1649894400,1643403252,0.43567458862304603,False,P
33,SPY220414P00330000,330.0,USD,2.01,-0.8800001,-30.44983,238.0,10390,2.05,2.08,REGULAR,1649894400,1643403704,0.42542078491210905,False,P
34,SPY220414P00335000,335.0,USD,2.19,-0.94000006,-30.03195,748.0,1523,2.22,2.26,REGULAR,1649894400,1643403738,0.41547215393066406,False,P
35,SPY220414P00340000,340.0,USD,2.55,-0.8900001,-25.872097,658.0,4420,2.42,2.47,REGULAR,1649894400,1643402797,0.40613386840820304,False,P
36,SPY220414P00345000,345.0,USD,3.12,-0.5300001999999999,-14.520553,221.0,4737,2.64,2.69,REGULAR,1649894400,1643400710,0.396368341064453,False,P
37,SPY220414P00350000,350.0,USD,2.87,-1.0300002,-26.410261,2558.0,23138,2.89,2.94,REGULAR,1649894400,1643404384,0.38703005554199205,False,P
38,SPY220414P00355000,355.0,USD,3.1,-1.3200002,-29.864258,1552.0,9305,3.17,3.21,REGULAR,1649894400,1643403544,0.377569700927734,False,P
39,SPY220414P00360000,360.0,USD,3.45,-1.1800001,-25.485962,211.0,8223,3.48,3.52,REGULAR,1649894400,1643403531,0.368475553588867,False,P
40,SPY220414P00365000,365.0,USD,3.73,-1.7800002,-32.304905,771.0,7962,3.8200000000000003,3.87,REGULAR,1649894400,1643403569,0.359686578979492,False,P
41,SPY220414P00370000,370.0,USD,4.13,-1.69,-29.0378,196.0,6979,4.22,4.27,REGULAR,1649894400,1643403833,0.351263811645507,False,P
42,SPY220414P00375000,375.0,USD,4.55,-2.2799997,-33.382133,436.0,3410,4.65,4.71,REGULAR,1649894400,1643404072,0.342780009765624,False,P
43,SPY220414P00380000,380.0,USD,5.05,-2.1399999,-29.76356,211.0,9281,5.14,5.21,REGULAR,1649894400,1643404190,0.33460138061523403,False,P
44,SPY220414P00385000,385.0,USD,5.74,-2.2700005,-28.33958,702.0,5911,5.69,5.76,REGULAR,1649894400,1643403255,0.326361716918945,False,P
45,SPY220414P00390000,390.0,USD,6.13,-2.5,-28.968712,301.0,8682,6.31,6.38,REGULAR,1649894400,1643404151,0.31830515686035105,False,P
46,SPY220414P00395000,395.0,USD,6.97,-2.3700004,-25.374735,134.0,8172,7.0,7.08,REGULAR,1649894400,1643403411,0.310462217712402,False,P
47,SPY220414P00400000,400.0,USD,7.85,-2.85,-26.635513,4438.0,11900,7.77,7.85,REGULAR,1649894400,1643404499,0.302497209472656,False,P
