,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220414P00100000,100.0,USD,0.02,0.0,0.0,1218.0,29491,0.01,0.02,REGULAR,1649894400,1643825269,1.046879765625,False,P
1,SPY220414P00110000,110.0,USD,0.02,-0.02,-50.0,261.0,18369,0.02,0.03,REGULAR,1649894400,1643815136,1.02734861328125,False,P
2,SPY220414P00120000,120.0,USD,0.03,0.0,0.0,10.0,14002,0.02,0.03,REGULAR,1649894400,1643746799,0.9648441015625,False,P
3,SPY220414P00130000,130.0,USD,0.02,-0.02,-50.0,73.0,3364,0.02,0.03,REGULAR,1649894400,1643827330,0.9062509375000001,False,P
4,SPY220414P00140000,140.0,USD,0.04,-0.010000002000000001,-20.000002,750.0,1297,0.02,0.04,REGULAR,1649894400,1643815932,0.8710950390625001,False,P
5,SPY220414P00150000,150.0,USD,0.04,-0.02,-33.333336,6.0,3010,0.03,0.04,REGULAR,1649894400,1643821737,0.8320329296874991,False,P
6,SPY220414P00160000,160.0,USD,0.05,-0.009999998000000001,-16.666664,20.0,3508,0.04,0.05,REGULAR,1649894400,1643748295,0.802736347656249,False,P
7,SPY220414P00170000,170.0,USD,0.06,-0.010000002000000001,-14.285716,245.0,3900,0.05,0.06,REGULAR,1649894400,1643821523,0.77148666015625,False,P
8,SPY220414P00180000,180.0,USD,0.08,-0.020000003000000002,-20.000004,4.0,1544,0.07,0.08,REGULAR,1649894400,1643822751,0.75195560546875,False,P
9,SPY220414P00190000,190.0,USD,0.09,-0.009999998000000001,-9.999998,1914.0,1429,0.08,0.09,REGULAR,1649894400,1643822899,0.7187528125,False,P
10,SPY220414P00200000,200.0,USD,0.11,-0.009999998000000001,-8.333332,855.0,3901,0.1,0.11,REGULAR,1649894400,1643823743,0.69336244140625,False,P
11,SPY220414P00210000,210.0,USD,0.13,-0.020000010000000002,-13.33334,1400.0,932,0.12,0.13,REGULAR,1649894400,1643816803,0.666995517578125,False,P
12,SPY220414P00215000,215.0,USD,0.14,-0.019999996000000003,-12.499998,21.0,84,0.13,0.14,REGULAR,1649894400,1643814591,0.653323779296875,False,P
