,contractSymbol,strike,currency,lastPrice,change,volume,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220422P00360000,360.0,USD,2.68,2.68,116,2.5,2.55,REGULAR,1650585600,1646340154,0.39301144104003904,False,P
1,SPY220422P00365000,365.0,USD,3.01,3.01,65,2.8200000000000003,2.88,REGULAR,1650585600,1646340154,0.38379522460937504,False,P
2,SPY220422P00370000,370.0,USD,3.48,3.48,15,3.19,3.25,REGULAR,1650585600,1646339841,0.374456939086914,False,P
3,SPY220422P00375000,375.0,USD,3.8200000000000003,3.8200000000000003,54,3.62,3.69,REGULAR,1650585600,1646340874,0.36585106811523405,False,P
4,SPY220422P00380000,380.0,USD,4.24,4.24,233,4.11,4.18,REGULAR,1650585600,1646337805,0.35700105895996004,False,P
5,SPY220422P00385000,385.0,USD,4.9,4.9,191,4.66,4.74,REGULAR,1650585600,1646340874,0.348334153442382,False,P
6,SPY220422P00390000,390.0,USD,5.5,5.5,147,5.29,5.37,REGULAR,1650585600,1646340805,0.339545178833007,False,P
7,SPY220422P00395000,395.0,USD,6.32,6.32,49,6.0,6.09,REGULAR,1650585600,1646340716,0.330908790588378,False,P
8,SPY220422P00400000,400.0,USD,7.12,7.12,93,6.8,6.89,REGULAR,1650585600,1646340657,0.321967229614257,False,P
9,SPY220422P00405000,405.0,USD,7.24,7.24,24,7.69,7.79,REGULAR,1650585600,1646332628,0.312903599548339,False,P
10,SPY220422P00410000,410.0,USD,9.07,9.07,22,8.7,8.79,REGULAR,1650585600,1646337847,0.30350427947998004,False,P
11,SPY220422P00415000,415.0,USD,10.19,10.19,30,9.81,9.92,REGULAR,1650585600,1646341010,0.294104959411621,False,P
12,SPY220422P00420000,420.0,USD,11.96,11.96,73,11.07,11.17,REGULAR,1650585600,1646340312,0.284186845703124,False,P
13,SPY220422P00423000,423.0,USD,10.94,10.94,4,11.89,12.0,REGULAR,1650585600,1646318332,0.27829701202392504,False,P
14,SPY220422P00424000,424.0,USD,11.36,11.36,2,12.17,12.28,REGULAR,1650585600,1646334469,0.276130285644531,False,P
15,SPY220422P00425000,425.0,USD,13.58,13.58,3,12.47,12.58,REGULAR,1650585600,1646323814,0.27420769744873,False,P
16,SPY220422P00426000,426.0,USD,12.9,12.9,3,12.77,12.88,REGULAR,1650585600,1646337107,0.272163040161132,False,P
17,SPY220422P00427000,427.0,USD,13.72,13.72,17,13.07,13.19,REGULAR,1650585600,1646339733,0.270148900146484,False,P
18,SPY220422P00428000,428.0,USD,13.44,13.44,2,13.39,13.5,REGULAR,1650585600,1646337375,0.267982173767089,False,P
19,SPY220422P00430000,430.0,USD,14.13,14.13,235,14.04,14.16,REGULAR,1650585600,1646341958,0.263984411010742,False,P
20,SPY220422P00433000,433.0,USD,15.09,15.09,8,15.07,15.19,REGULAR,1650585600,1646341238,0.25757578369140605,False,P
21,SPY220422P00434000,434.0,USD,16.42,16.42,1,15.44,15.56,REGULAR,1650585600,1646323267,0.25556164367675704,False,P
22,SPY220422P00435000,435.0,USD,16.3,16.3,15,15.81,15.93,REGULAR,1650585600,1646339564,0.253425434570312,False,P
23,SPY220422P00436000,436.0,USD,17.24,17.24,84,16.19,16.31,REGULAR,1650585600,1646340474,0.251319742736816,True,P
24,SPY220422P00437000,437.0,USD,16.69,16.69,5,16.58,16.7,REGULAR,1650585600,1646337101,0.24918353363037102,True,P
25,SPY220422P00438000,438.0,USD,17.54,17.54,86,16.98,17.11,REGULAR,1650585600,1646339989,0.24723042816162102,True,P
26,SPY220422P00439000,439.0,USD,17.71,17.71,38,17.39,17.52,REGULAR,1650585600,1646341193,0.245124736328125,True,P
27,SPY220422P00440000,440.0,USD,18.97,18.97,91,17.81,17.94,REGULAR,1650585600,1646340271,0.24301904449462802,True,P
28,SPY220422P00441000,441.0,USD,17.0,17.0,72,18.24,18.37,REGULAR,1650585600,1646331441,0.24088283538818303,True,P
29,SPY220422P00443000,443.0,USD,19.37,19.37,10,19.14,19.27,REGULAR,1650585600,1646337626,0.236763003540039,True,P
30,SPY220422P00444000,444.0,USD,20.1,20.1,4,19.61,19.74,REGULAR,1650585600,1646328671,0.23474886352539,True,P
31,SPY220422P00445000,445.0,USD,20.02,20.02,12,20.09,20.22,REGULAR,1650585600,1646327288,0.232734723510742,True,P
32,SPY220422P00450000,450.0,USD,24.2,24.2,69,22.18,23.28,REGULAR,1650585600,1646340380,0.23059851440429602,True,P
33,SPY220422P00453000,453.0,USD,24.71,24.71,4,23.96,24.96,REGULAR,1650585600,1646337108,0.22464764617919902,True,P
34,SPY220422P00455000,455.0,USD,25.89,25.89,4,25.06,26.3,REGULAR,1650585600,1646337108,0.22345747253417902,True,P
35,SPY220422P00460000,460.0,USD,29.89,29.89,55,28.32,29.71,REGULAR,1650585600,1646325210,0.21839160522460901,True,P
36,SPY220422P00465000,465.0,USD,33.59,33.59,50,31.96,33.52,REGULAR,1650585600,1646325210,0.216316430664062,True,P
0,SPY220422C00360000,360.0,USD,76.5,76.5,6,76.94,78.63,REGULAR,1650585600,1646339832,0.40735455932617104,True,C
1,SPY220422C00370000,370.0,USD,68.25,68.25,1,67.75,69.08,REGULAR,1650585600,1646337539,0.378363150024414,True,C
2,SPY220422C00390000,390.0,USD,49.66,49.66,274,49.76,51.07,REGULAR,1650585600,1646338269,0.339178971557617,True,C
3,SPY220422C00428000,428.0,USD,20.42,20.42,66,20.35,20.48,REGULAR,1650585600,1646325673,0.25623302368164,True,C
