,contractSymbol,strike,currency,lastPrice,change,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,percentChange,Type
0,SPY220404P00285000,285.0,USD,0.30000000000000004,0.30000000000000004,10.0,5,0.25,0.29,REGULAR,1649030400,1646340333,0.6337927246093751,False,,P
1,SPY220404P00290000,290.0,USD,0.33,0.33,,3,0.28,0.31,REGULAR,1649030400,1646245466,0.618167880859375,False,,P
2,SPY220404P00300000,300.0,USD,0.48,0.48,,2,0.34,0.37,REGULAR,1649030400,1646232578,0.586918193359375,False,,P
3,SPY220404P00305000,305.0,USD,0.4,0.4,,9,0.37,0.41000000000000003,REGULAR,1649030400,1646254382,0.571781625976562,False,,P
4,SPY220404P00315000,315.0,USD,0.58,0.58,,29,0.45,0.49,REGULAR,1649030400,1646235795,0.5410202148437501,False,,P
5,SPY220404P00320000,320.0,USD,0.59,0.59,,2,0.49,0.53,REGULAR,1649030400,1646241562,0.524907094726562,False,,P
6,SPY220404P00325000,325.0,USD,0.7000000000000001,0.7000000000000001,,18,0.54,0.58,REGULAR,1649030400,1646232832,0.5097705273437501,False,,P
7,SPY220404P00330000,330.0,USD,0.66,0.66,,10,0.59,0.64,REGULAR,1649030400,1646246994,0.49780775634765606,False,,P
8,SPY220404P00335000,335.0,USD,1.27,1.27,,45,0.66,0.71,REGULAR,1649030400,1646167814,0.48340360351562506,False,,P
9,SPY220404P00340000,340.0,USD,1.1,1.1,,8,0.74,0.79,REGULAR,1649030400,1646232026,0.46924358886718703,False,,P
10,SPY220404P00345000,345.0,USD,0.9400000000000001,0.9400000000000001,10.0,32,0.8300000000000001,0.88,REGULAR,1649030400,1646340234,0.45508357421875,False,,P
11,SPY220404P00350000,350.0,USD,1.01,1.01,21.0,278,0.9400000000000001,1.0,REGULAR,1649030400,1646340810,0.44251045776367104,False,,P
12,SPY220404P00355000,355.0,USD,1.07,1.07,74.0,24,1.08,1.13,REGULAR,1649030400,1646319007,0.42944906494140606,False,,P
13,SPY220404P00360000,360.0,USD,1.31,1.31,46.0,43,1.22,1.3,REGULAR,1649030400,1646340795,0.41785250122070305,False,,P
14,SPY220404P00365000,365.0,USD,1.51,1.51,10.0,16,1.42,1.51,REGULAR,1649030400,1646340795,0.407110421142578,False,,P
15,SPY220404P00370000,370.0,USD,1.74,1.74,41.0,19,1.6600000000000001,1.76,REGULAR,1649030400,1646337459,0.396734548339843,False,,P
16,SPY220404P00375000,375.0,USD,2.12,0.05999994300000001,109.0,52,1.9500000000000002,2.06,REGULAR,1649030400,1646340777,0.386846951904296,False,2.9126186,P
17,SPY220404P00380000,380.0,USD,2.49,0.22000003,41.0,472,2.3,2.41,REGULAR,1649030400,1646340899,0.376837286376953,False,9.691631,P
18,SPY220404P00385000,385.0,USD,2.92,0.3800001,29.0,59,2.71,2.83,REGULAR,1649030400,1646340899,0.367193828125,False,14.960634,P
19,SPY220404P00390000,390.0,USD,3.51,0.26,62.0,142,3.2,3.34,REGULAR,1649030400,1646340912,0.35828278442382805,False,8.0,P
20,SPY220404P00395000,395.0,USD,4.08,0.3599999,75.0,127,3.77,3.92,REGULAR,1649030400,1646340765,0.348761395263671,False,9.677417,P
21,SPY220404P00400000,400.0,USD,4.65,0.2800002,157.0,522,4.44,4.58,REGULAR,1649030400,1646341375,0.338751729736328,False,6.407328,P
22,SPY220404P00405000,405.0,USD,5.37,0.30999994000000003,49.0,63,5.24,5.38,REGULAR,1649030400,1646337358,0.32953551330566405,False,6.126481,P
23,SPY220404P00410000,410.0,USD,6.52,0.6199998999999999,918.0,144,6.1,6.28,REGULAR,1649030400,1646340952,0.31946481323242104,False,10.508472,P
24,SPY220404P00415000,415.0,USD,7.3,0.71000004,132.0,97,7.12,7.29,REGULAR,1649030400,1646341737,0.308539629516601,False,10.7739,P
25,SPY220404P00420000,420.0,USD,9.11,1.2599998000000001,83.0,63,8.3,8.47,REGULAR,1649030400,1646340425,0.297675480346679,False,16.050953,P
26,SPY220404P00425000,425.0,USD,10.26,1.3600006,598.0,178,9.64,9.83,REGULAR,1649030400,1646339968,0.286597710266113,False,15.280907,P
27,SPY220404P00430000,430.0,USD,11.86,1.4499998,426.0,222,11.19,11.39,REGULAR,1649030400,1646340909,0.27512321563720704,False,13.928912,P
28,SPY220404P00435000,435.0,USD,13.13,0.52999973,184.0,255,12.97,13.19,REGULAR,1649030400,1646341734,0.263435100097656,False,4.206347,P
29,SPY220404P00440000,440.0,USD,15.7,1.8000002,64.0,46,15.04,15.27,REGULAR,1649030400,1646338937,0.251685950012207,True,12.949642,P
30,SPY220404P00445000,445.0,USD,16.37,0.15000153,27.0,26,17.14,17.97,REGULAR,1649030400,1646334293,0.24604025451660103,True,0.9247936,P
31,SPY220404P00450000,450.0,USD,19.4,0.79999924,8.0,18,19.86,20.85,REGULAR,1649030400,1646334661,0.237525935363769,True,4.301071,P
32,SPY220404P00455000,455.0,USD,24.31,2.4300003,10.0,30,23.0,24.17,REGULAR,1649030400,1646340777,0.23148351531982403,True,11.106034,P
33,SPY220404P00460000,460.0,USD,27.3,27.3,10.0,25,26.69,27.84,REGULAR,1649030400,1646337330,0.22653971710205,True,,P
34,SPY220404P00465000,465.0,USD,34.25,34.25,,2,30.61,32.14,REGULAR,1649030400,1646149912,0.23224644714355402,True,,P
35,SPY220404P00470000,470.0,USD,38.69,38.69,,1,35.01,36.67,REGULAR,1649030400,1646149912,0.24085231811523403,True,,P
0,SPY220404C00315000,315.0,USD,123.83,123.83,2.0,0,120.42,122.21,REGULAR,1649030400,1646329002,0.5627485131835931,True,,C
1,SPY220404C00335000,335.0,USD,101.78,101.78,1.0,0,100.57,102.32,REGULAR,1649030400,1646337209,0.5666547241210931,True,,C
2,SPY220404C00340000,340.0,USD,99.4,99.4,2.0,0,95.64,97.36,REGULAR,1649030400,1646329015,0.5434615966796871,True,,C
3,SPY220404C00380000,380.0,USD,56.3,56.3,,0,57.05,58.46,REGULAR,1649030400,1646069042,0.391241439208984,True,,C
4,SPY220404C00385000,385.0,USD,54.61,1.7099991,1.0,1,52.54,53.69,REGULAR,1649030400,1646321141,0.37293107543945303,True,3.2325122,C
5,SPY220404C00395000,395.0,USD,45.57,45.57,3.0,6,43.47,44.67,REGULAR,1649030400,1646332708,0.34998208618164,True,,C
6,SPY220404C00400000,400.0,USD,41.14,41.14,3.0,2,39.13,40.24,REGULAR,1649030400,1646332708,0.337225866088867,True,,C
7,SPY220404C00405000,405.0,USD,34.75,34.75,16.0,0,34.9,35.92,REGULAR,1649030400,1646339640,0.324896887817382,True,,C
8,SPY220404C00415000,415.0,USD,25.15,25.15,,1,26.83,27.65,REGULAR,1649030400,1646078186,0.30039151763916,True,,C
9,SPY220404C00420000,420.0,USD,25.91,0.0,1.0,8,23.07,23.69,REGULAR,1649030400,1646254200,0.286994434814453,True,0.0,C
10,SPY220404C00425000,425.0,USD,19.06,19.06,1.0,12,19.38,20.01,REGULAR,1649030400,1646338001,0.275611492004394,True,,C
11,SPY220404C00430000,430.0,USD,16.47,-1.1400013,88.0,40,16.06,16.3,REGULAR,1649030400,1646327228,0.25916268188476504,True,-6.473602,C
12,SPY220404C00435000,435.0,USD,12.2,-2.6000004,141.0,40,12.82,13.07,REGULAR,1649030400,1646340353,0.24719991088867102,True,-17.56757,C
13,SPY220404C00440000,440.0,USD,9.81,-1.8799991999999999,194.0,144,9.88,10.12,REGULAR,1649030400,1646341274,0.23480989807128902,False,-16.082115,C
14,SPY220404C00445000,445.0,USD,7.25,-1.3299999,140.0,110,7.28,7.52,REGULAR,1649030400,1646339968,0.222572471618652,False,-15.501165,C
15,SPY220404C00450000,450.0,USD,5.04,-0.98,46.0,74,5.09,5.3,REGULAR,1649030400,1646339672,0.21030452789306603,False,-16.27907,C
16,SPY220404C00455000,455.0,USD,3.4,-0.8199997,29.0,143,3.32,3.5,REGULAR,1649030400,1646341481,0.19825020507812502,False,-19.431274,C
17,SPY220404C00460000,460.0,USD,2.0,2.0,40.0,77,2.0,2.16,REGULAR,1649030400,1646340911,0.18744709045410102,False,,C
18,SPY220404C00465000,465.0,USD,1.16,1.16,322.0,35,1.11,1.24,REGULAR,1649030400,1646340899,0.177986735839843,False,,C
19,SPY220404C00470000,470.0,USD,0.67,0.67,675.0,1498,0.65,0.68,REGULAR,1649030400,1646341709,0.171150866699218,False,,C
20,SPY220404C00475000,475.0,USD,0.32,0.32,307.0,27,0.31,0.37,REGULAR,1649030400,1646340389,0.16724465576171801,False,,C
21,SPY220404C00480000,480.0,USD,0.21,0.21,24.0,106,0.17,0.22,REGULAR,1649030400,1646338981,0.16773293212890603,False,,C
22,SPY220404C00485000,485.0,USD,0.14,0.14,8.0,11,0.09,0.14,REGULAR,1649030400,1646337035,0.170418452148437,False,,C
23,SPY220404C00490000,490.0,USD,0.08,0.08,45.0,51,0.05,0.1,REGULAR,1649030400,1646333478,0.1757894921875,False,,C
24,SPY220404C00495000,495.0,USD,0.07,0.07,,4,0.03,0.07,REGULAR,1649030400,1646155494,0.18067225585937502,False,,C
25,SPY220404C00500000,500.0,USD,0.05,0.05,11.0,123,0.02,0.06,REGULAR,1649030400,1646327009,0.18946123046875002,False,,C
