,contractSymbol,strike,currency,lastPrice,change,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220819P00200000,200.0,USD,1.06,1.06,106.0,11,1.06,1.07,REGULAR,1660867200,1646342083,0.581547153320312,False,P
1,SPY220819P00205000,205.0,USD,1.04,1.04,,2,1.13,1.16,REGULAR,1660867200,1646066797,0.571659556884765,False,P
2,SPY220819P00215000,215.0,USD,1.25,1.25,1.0,2,1.29,1.32,REGULAR,1660867200,1646334338,0.551029880371093,False,P
3,SPY220819P00235000,235.0,USD,1.62,1.62,1.0,0,1.67,1.71,REGULAR,1660867200,1646333430,0.5122119091796871,False,P
4,SPY220819P00240000,240.0,USD,1.9100000000000001,1.9100000000000001,1.0,1,1.78,1.83,REGULAR,1660867200,1646323985,0.503056727294922,False,P
5,SPY220819P00245000,245.0,USD,1.71,1.71,,2,1.9,1.9500000000000002,REGULAR,1660867200,1646065476,0.49524430541992104,False,P
6,SPY220819P00250000,250.0,USD,2.01,2.01,,8,2.03,2.08,REGULAR,1660867200,1646069431,0.486272227172851,False,P
7,SPY220819P00260000,260.0,USD,2.86,2.86,,1,2.31,2.36,REGULAR,1660867200,1646167767,0.46857220886230405,False,P
8,SPY220819P00270000,270.0,USD,2.95,2.95,,8,2.64,2.69,REGULAR,1660867200,1646152519,0.45184874328613206,False,P
9,SPY220819P00275000,275.0,USD,2.8200000000000003,2.8200000000000003,2.0,6,2.8200000000000003,2.88,REGULAR,1660867200,1646327389,0.443975286865234,False,P
10,SPY220819P00280000,280.0,USD,3.07,3.07,,6,3.02,3.07,REGULAR,1660867200,1646147339,0.43573562316894504,False,P
11,SPY220819P00285000,285.0,USD,3.18,3.18,3.0,22,3.23,3.29,REGULAR,1660867200,1646320388,0.42816733947753904,False,P
12,SPY220819P00290000,290.0,USD,3.5,3.5,1.0,3,3.45,3.52,REGULAR,1660867200,1646326987,0.42053802124023404,False,P
13,SPY220819P00295000,295.0,USD,3.79,3.79,1.0,2,3.7,3.77,REGULAR,1660867200,1646338158,0.41309180664062406,False,P
14,SPY220819P00300000,300.0,USD,3.8,3.8,20.0,162,3.9699999999999998,4.03,REGULAR,1660867200,1646319735,0.405523522949218,False,P
15,SPY220819P00305000,305.0,USD,5.04,5.04,,73,4.25,4.32,REGULAR,1660867200,1646167404,0.398351963806152,False,P
16,SPY220819P00310000,310.0,USD,5.1,5.1,,8,4.5600000000000005,4.64,REGULAR,1660867200,1646231566,0.39145506011962805,False,P
17,SPY220819P00315000,315.0,USD,5.07,5.07,2.0,86,4.9,4.98,REGULAR,1660867200,1646326601,0.38458867370605404,False,P
18,SPY220819P00320000,320.0,USD,5.48,5.48,1.0,102,5.26,5.34,REGULAR,1660867200,1646340269,0.377691770019531,False,P
19,SPY220819P00325000,325.0,USD,5.85,5.85,2.0,25,5.65,5.74,REGULAR,1660867200,1646325193,0.3711000390625,False,P
20,SPY220819P00330000,330.0,USD,6.17,6.17,1.0,271,6.08,6.17,REGULAR,1660867200,1646338541,0.36463037719726504,False,P
21,SPY220819P00335000,335.0,USD,6.84,6.84,3.0,103,6.54,6.64,REGULAR,1660867200,1646340306,0.35831330169677705,False,P
22,SPY220819P00340000,340.0,USD,7.38,7.38,106.0,2846,7.05,7.15,REGULAR,1660867200,1646340381,0.35217932983398403,False,P
23,SPY220819P00345000,345.0,USD,7.18,7.18,164.0,1023,7.59,7.7,REGULAR,1660867200,1646331496,0.346106392517089,False,P
24,SPY220819P00350000,350.0,USD,8.4,8.4,316.0,12,8.18,8.29,REGULAR,1660867200,1646340876,0.340094489746093,False,P
25,SPY220819P00355000,355.0,USD,8.59,8.59,60.0,1133,8.81,8.93,REGULAR,1660867200,1646332990,0.33420465606689403,False,P
26,SPY220819P00360000,360.0,USD,9.6,9.6,21.0,89,9.5,9.62,REGULAR,1660867200,1646325906,0.328406374206542,False,P
