,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY241220P00200000,200.0,USD,5.21,-1.3200002,-20.214397,5.0,566,5.2,7.8,REGULAR,1734652800,1646327544,0.35782502532958904,False,P
1,SPY241220P00205000,205.0,USD,6.0,0.0,0.0,2.0,40,1.5,10.0,REGULAR,1734652800,1645725154,0.37334305862426703,False,P
2,SPY241220P00210000,210.0,USD,7.3,0.0,0.0,5.0,18,3.0,12.0,REGULAR,1734652800,1645799653,0.383917293701171,False,P
3,SPY241220P00215000,215.0,USD,7.49,0.0,0.0,1.0,6,2.4,12.0,REGULAR,1734652800,1645636389,0.37372452453613203,False,P
4,SPY241220P00220000,220.0,USD,8.19,0.0,0.0,1.0,14,3.0,12.5,REGULAR,1734652800,1645713370,0.368506070861816,False,P
5,SPY241220P00225000,225.0,USD,8.5,0.0,0.0,1.0,19,3.7800000000000002,13.0,REGULAR,1734652800,1644433103,0.363241841278076,False,P
6,SPY241220P00230000,230.0,USD,10.0,0.0,0.0,2.0,275,3.9,13.5,REGULAR,1734652800,1645723980,0.357947094421386,False,P
7,SPY241220P00235000,235.0,USD,9.5,0.0,0.0,10.0,10,7.0,12.0,REGULAR,1734652800,1642796516,0.335288019256591,False,P
8,SPY241220P00240000,240.0,USD,10.0,0.0,0.0,1.0,24,7.45,15.5,REGULAR,1734652800,1646079305,0.35536838485717703,False,P
9,SPY241220P00245000,245.0,USD,11.16,0.0,0.0,5.0,9,5.0,15.0,REGULAR,1734652800,1646148215,0.34192552612304605,False,P
10,SPY241220P00250000,250.0,USD,10.11,-2.0500002,-16.858555,1.0,121,4.5,12.78,REGULAR,1734652800,1646324693,0.31499403274536103,False,P
11,SPY241220P00255000,255.0,USD,12.1,0.0,0.0,1.0,44,6.5,16.5,REGULAR,1734652800,1645715082,0.334845518798828,False,P
12,SPY241220P00260000,260.0,USD,15.11,0.0,0.0,5.0,24,7.0,17.0,REGULAR,1734652800,1645714652,0.329321892395019,False,P
13,SPY241220P00265000,265.0,USD,12.0,0.0,0.0,10.0,0,8.0,17.94,REGULAR,1734652800,1644610156,0.326849993286132,False,P
14,SPY241220P00270000,270.0,USD,13.29,0.0,0.0,1.0,413,8.5,16.51,REGULAR,1734652800,1646160292,0.308036094512939,False,P
15,SPY241220P00275000,275.0,USD,15.5,0.0,0.0,16.0,290,9.01,19.0,REGULAR,1734652800,1646167316,0.316001102752685,False,P
16,SPY241220P00280000,280.0,USD,16.24,0.0,0.0,2.0,70,9.5,17.86,REGULAR,1734652800,1645649831,0.29979643081665003,False,P
17,SPY241220P00285000,285.0,USD,14.37,0.0,0.0,1.0,25,10.51,20.5,REGULAR,1734652800,1644525256,0.30782247360229403,False,P
18,SPY241220P00290000,290.0,USD,16.82,0.0,0.0,1.0,17,12.0,21.5,REGULAR,1734652800,1645806929,0.30510643630981404,False,P
19,SPY241220P00295000,295.0,USD,17.81,0.0,0.0,260.0,831,12.5,22.5,REGULAR,1734652800,1645732958,0.30222255401611303,False,P
20,SPY241220P00300000,300.0,USD,19.0,0.0,0.0,12.0,162,13.0,22.67,REGULAR,1734652800,1646252810,0.294478796005248,False,P
21,SPY241220P00305000,305.0,USD,22.86,0.0,0.0,5.0,22,14.01,24.0,REGULAR,1734652800,1645714652,0.293250475769042,False,P
22,SPY241220P00310000,310.0,USD,21.5,0.0,0.0,121.0,484,15.01,25.0,REGULAR,1734652800,1645555400,0.290015644836425,False,P
23,SPY241220P00315000,315.0,USD,22.0,0.0,0.0,1.0,23,16.01,26.0,REGULAR,1734652800,1645628370,0.28665111549377403,False,P
24,SPY241220P00320000,320.0,USD,24.5,0.0,0.0,10.0,591,17.01,27.0,REGULAR,1734652800,1646167214,0.28316451705932605,False,P
25,SPY241220P00325000,325.0,USD,26.0,0.0,0.0,1.0,903,18.01,28.0,REGULAR,1734652800,1645716093,0.27955584953308105,False,P
26,SPY241220P00330000,330.0,USD,26.0,0.0,0.0,20.0,33,19.51,29.5,REGULAR,1734652800,1646234798,0.27826649475097603,False,P
27,SPY241220P00335000,335.0,USD,30.0,0.0,0.0,1.0,24,20.51,30.5,REGULAR,1734652800,1645714439,0.274390801086425,False,P
28,SPY241220P00340000,340.0,USD,28.0,0.0,0.0,23.0,37,21.51,31.5,REGULAR,1734652800,1646080439,0.27041592628479,False,P
29,SPY241220P00345000,345.0,USD,31.25,0.0,0.0,10.0,807,23.0,33.0,REGULAR,1734652800,1645718913,0.268607777862548,False,P
30,SPY241220P00350000,350.0,USD,32.0,0.0,0.0,20.0,666,24.6,34.5,REGULAR,1734652800,1646167205,0.266616525802612,False,P
31,SPY241220P00355000,355.0,USD,30.21,0.0,0.0,260.0,360,25.5,35.5,REGULAR,1734652800,1646070768,0.26226018508911103,False,P
32,SPY241220P00360000,360.0,USD,35.0,0.0,0.0,13.0,1839,25.5,33.5,REGULAR,1734652800,1646167617,0.24496452064514102,False,P
33,SPY241220P00365000,365.0,USD,32.23,0.0,0.0,166.0,604,28.5,38.5,REGULAR,1734652800,1646246626,0.25748423187255803,False,P
34,SPY241220P00370000,370.0,USD,33.96,-2.2400017,-6.18785,1.0,3779,30.0,40.0,REGULAR,1734652800,1646335108,0.254844487762451,False,P
35,SPY241220P00375000,375.0,USD,39.5,0.0,0.0,8.0,784,31.5,41.5,REGULAR,1734652800,1646167210,0.252052157287597,False,P
36,SPY241220P00380000,380.0,USD,38.0,0.0,0.0,1.0,707,33.0,43.0,REGULAR,1734652800,1646058622,0.249107240447998,False,P
37,SPY241220P00385000,385.0,USD,42.15,0.0,0.0,10.0,515,35.0,45.0,REGULAR,1734652800,1645719103,0.24797047203063902,False,P
38,SPY241220P00390000,390.0,USD,43.09,5.4900017,14.6010685,2.0,442,36.5,46.5,REGULAR,1734652800,1646327563,0.244705123825073,False,P
39,SPY241220P00395000,395.0,USD,39.0,-6.0099983,-13.352585,1.0,844,38.0,48.0,REGULAR,1734652800,1646339252,0.241302447891235,False,P
40,SPY241220P00400000,400.0,USD,42.5,-2.5,-5.555556,10.0,1119,40.0,50.0,REGULAR,1734652800,1646318190,0.23962399787902802,False,P
41,SPY241220P00405000,405.0,USD,50.5,0.0,0.0,240.0,275,42.0,52.0,REGULAR,1734652800,1645551005,0.23776244422912501,False,P
42,SPY241220P00410000,410.0,USD,47.1,-2.4000015,-4.848488,2.0,417,43.0,51.4,REGULAR,1734652800,1646318735,0.22621165641784602,False,P
43,SPY241220P00415000,415.0,USD,54.25,0.0,0.0,1.0,28,45.5,55.5,REGULAR,1734652800,1646167634,0.23168187759399403,False,P
44,SPY241220P00420000,420.0,USD,52.58,-0.9699974,-1.8113865,1.0,446,50.0,55.0,REGULAR,1734652800,1646339312,0.220352340011596,False,P
45,SPY241220P00425000,425.0,USD,54.68,-1.8199996999999999,-3.2212384,3.0,60,49.5,59.5,REGULAR,1734652800,1646339312,0.226745708694457,False,P
46,SPY241220P00430000,430.0,USD,58.43,0.0,0.0,4.0,213,51.5,61.5,REGULAR,1734652800,1646233988,0.22400678344726502,False,P
47,SPY241220P00435000,435.0,USD,64.0,6.75,11.790393,1.0,293,53.5,63.5,REGULAR,1734652800,1646341051,0.22110001319885203,False,P
48,SPY241220P00440000,440.0,USD,60.5,-0.5,-0.8196721,3.0,138,58.8,66.0,REGULAR,1734652800,1646340425,0.219757253189086,True,P
49,SPY241220P00445000,445.0,USD,68.96,0.0,0.0,8.0,260,58.0,68.0,REGULAR,1734652800,1645725074,0.21648427566528303,True,P
50,SPY241220P00450000,450.0,USD,65.8,0.0,0.0,2.0,311,60.0,70.0,REGULAR,1734652800,1646244678,0.21303582382202102,True,P
51,SPY241220P00455000,455.0,USD,69.3,0.0,0.0,1.0,436,62.01,72.0,REGULAR,1734652800,1646150404,0.209396639022827,True,P
52,SPY241220P00460000,460.0,USD,69.48,0.0,0.0,7.0,1121,64.5,74.5,REGULAR,1734652800,1645818809,0.20728331787109303,True,P
53,SPY241220P00465000,465.0,USD,75.03,0.0,0.0,4.0,75,67.0,77.0,REGULAR,1734652800,1645734958,0.20497163444519,True,P
54,SPY241220P00470000,470.0,USD,74.28,0.0,0.0,3.0,109,69.5,79.5,REGULAR,1734652800,1646252636,0.20245395942687902,True,P
55,SPY241220P00475000,475.0,USD,83.0,0.0,0.0,2.0,66,72.01,82.0,REGULAR,1734652800,1646164597,0.199722663497924,True,P
56,SPY241220P00480000,480.0,USD,80.5,-1.5,-1.8292682,2.0,60,74.51,84.5,REGULAR,1734652800,1646327772,0.196781561317443,True,P
57,SPY241220P00485000,485.0,USD,76.26,0.0,0.0,63.0,61,77.01,87.0,REGULAR,1734652800,1644942600,0.193611579589843,True,P
58,SPY241220P00490000,490.0,USD,88.6,0.0,0.0,1.0,28,80.01,90.0,REGULAR,1734652800,1646152347,0.191963646850585,True,P
59,SPY241220P00495000,495.0,USD,80.5,0.0,0.0,1.0,17,82.51,92.5,REGULAR,1734652800,1644251183,0.188332091369628,True,P
60,SPY241220P00500000,500.0,USD,104.3,0.0,0.0,61.0,165,85.51,95.5,REGULAR,1734652800,1645716790,0.186222584877014,True,P
61,SPY241220P00505000,505.0,USD,96.0,0.0,0.0,1.0,4,88.51,98.5,REGULAR,1734652800,1646235473,0.18387656951904202,True,P
62,SPY241220P00510000,510.0,USD,97.5,0.0,0.0,12.0,12,92.0,101.57,REGULAR,1734652800,1645805486,0.181541998138427,True,P
63,SPY241220P00515000,515.0,USD,101.5,0.0,0.0,11.0,14,95.01,105.0,REGULAR,1734652800,1645804923,0.18029078994750902,True,P
64,SPY241220P00520000,520.0,USD,105.0,0.0,0.0,1.0,30,98.5,108.12,REGULAR,1734652800,1645804850,0.17764341651916501,True,P
