,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY241220P00200000,200.0,USD,6.2,-0.7000003,-10.144932,29.0,473,5.0,6.7,REGULAR,1734652800,1643659560,0.34781535980224604,False,P
1,SPY241220P00205000,205.0,USD,9.29,0.0,0.0,1.0,38,4.0,9.0,REGULAR,1734652800,1643308864,0.366339344482421,False,P
2,SPY241220P00210000,210.0,USD,7.6,0.0,0.0,1.0,13,4.5,9.5,REGULAR,1734652800,1643125842,0.36228054718017505,False,P
3,SPY241220P00215000,215.0,USD,6.51,0.0,0.0,1.0,4,4.5,9.5,REGULAR,1734652800,1643125232,0.352865968475341,False,P
4,SPY241220P00220000,220.0,USD,6.91,0.0,0.0,,3,3.0,12.0,REGULAR,1734652800,1640890000,0.368384001770019,False,P
5,SPY241220P00225000,225.0,USD,10.23,0.0,0.0,4.0,19,5.5,10.5,REGULAR,1734652800,1643044687,0.34464156341552704,False,P
6,SPY241220P00230000,230.0,USD,10.38,0.0,0.0,41.0,251,6.0,11.0,REGULAR,1734652800,1643227531,0.340369145202636,False,P
7,SPY241220P00235000,235.0,USD,9.5,0.0,0.0,10.0,10,6.5,11.5,REGULAR,1734652800,1642796516,0.336035692443847,False,P
8,SPY241220P00240000,240.0,USD,10.51,0.0,0.0,1.0,20,7.0,10.75,REGULAR,1734652800,1643304549,0.320517659149169,False,P
9,SPY241220P00245000,245.0,USD,10.76,0.0,0.0,,3,10.3,13.5,REGULAR,1734652800,1643133784,0.33544060562133704,False,P
10,SPY241220P00250000,250.0,USD,10.67,0.0,0.0,10.0,99,8.0,12.44,REGULAR,1734652800,1643403042,0.318030501403808,False,P
11,SPY241220P00255000,255.0,USD,11.73,0.0,0.0,12.0,40,8.5,13.5,REGULAR,1734652800,1643403042,0.318030501403808,False,P
12,SPY241220P00260000,260.0,USD,12.82,0.0,0.0,6.0,23,9.0,14.0,REGULAR,1734652800,1643403042,0.31340713455200103,False,P
13,SPY241220P00265000,265.0,USD,14.76,0.0,0.0,1.0,23,9.5,14.5,REGULAR,1734652800,1643311661,0.30873799179077105,False,P
14,SPY241220P00270000,270.0,USD,13.95,0.0,0.0,2.0,3,10.5,15.5,REGULAR,1734652800,1643301836,0.307578335418701,False,P
15,SPY241220P00275000,275.0,USD,15.0,0.0,0.0,,0,11.0,16.0,REGULAR,1734652800,1643218606,0.30272608901977505,False,P
16,SPY241220P00280000,280.0,USD,16.63,0.0,0.0,40.0,57,11.5,16.5,REGULAR,1734652800,1643227531,0.29785858398437404,False,P
17,SPY241220P00285000,285.0,USD,14.89,-0.10999966,-0.733331,12.0,12,12.5,17.5,REGULAR,1734652800,1643655832,0.296180133972167,False,P
18,SPY241220P00290000,290.0,USD,20.5,0.0,0.0,1.0,16,13.0,18.0,REGULAR,1734652800,1643035783,0.291167671890258,False,P
19,SPY241220P00295000,295.0,USD,16.64,-0.8600006,-4.9142895,12.0,23,14.0,19.0,REGULAR,1734652800,1643655832,0.28916116119384705,False,P
20,SPY241220P00300000,300.0,USD,18.39,-2.4700012,-11.840849,10.0,88,16.7,20.0,REGULAR,1734652800,1643655754,0.286971546859741,False,P
21,SPY241220P00305000,305.0,USD,17.1,-0.020000458000000002,-0.11682510400000001,2.0,12,15.5,20.5,REGULAR,1734652800,1643644565,0.281760722503662,False,P
22,SPY241220P00310000,310.0,USD,24.3,0.0,0.0,22.0,24,16.5,21.5,REGULAR,1734652800,1643047492,0.279304082031249,False,P
23,SPY241220P00315000,315.0,USD,23.75,0.0,0.0,1.0,22,17.5,22.5,REGULAR,1734652800,1643311661,0.27668722587585404,False,P
24,SPY241220P00320000,320.0,USD,21.67,-4.83,-18.226416,1.0,578,18.5,23.5,REGULAR,1734652800,1643649036,0.27391778335571204,False,P
25,SPY241220P00330000,330.0,USD,25.49,-0.5100002,-1.9615393,1.0,6,22.5,25.5,REGULAR,1734652800,1643654741,0.267982173767089,False,P
26,SPY241220P00335000,335.0,USD,26.97,-2.5300007,-8.576273,3.0,11,21.5,26.5,REGULAR,1734652800,1643639401,0.264823636016845,False,P
27,SPY241220P00340000,340.0,USD,29.0,0.0,0.0,3.0,28,22.5,27.5,REGULAR,1734652800,1643402787,0.26155065849304104,False,P
28,SPY241220P00345000,345.0,USD,24.72,0.0,0.0,20.0,762,24.0,29.0,REGULAR,1734652800,1643058823,0.260467295303344,False,P
29,SPY241220P00350000,350.0,USD,29.0,0.0,0.0,1.0,172,25.0,30.0,REGULAR,1734652800,1643386883,0.256919662322998,False,P
30,SPY241220P00355000,355.0,USD,30.0,-2.5,-7.692308,3.0,36,29.5,32.5,REGULAR,1734652800,1643655906,0.25984169120788503,False,P
31,SPY241220P00360000,360.0,USD,31.0,-0.30999947,-0.99009734,3.0,1460,27.5,31.5,REGULAR,1734652800,1643660020,0.24736012657165501,False,P
32,SPY241220P00365000,365.0,USD,33.9,0.0,0.0,70.0,121,29.0,34.0,REGULAR,1734652800,1642792045,0.24987780158996503,False,P
33,SPY241220P00370000,370.0,USD,36.0,0.0,0.0,2750.0,3412,32.11,35.5,REGULAR,1734652800,1643400557,0.247917066802978,False,P
34,SPY241220P00375000,375.0,USD,34.4,-2.1999969999999998,-6.010921,187.0,322,31.5,36.5,REGULAR,1734652800,1643657286,0.24375908836364701,False,P
35,SPY241220P00380000,380.0,USD,35.66,-6.8499985,-16.113852,1.0,604,33.0,38.0,REGULAR,1734652800,1643662120,0.241500810165405,False,P
36,SPY241220P00385000,385.0,USD,38.76,-1.8500022999999999,-4.555534,2.0,353,34.5,39.5,REGULAR,1734652800,1643644899,0.23908231628417903,False,P
37,SPY241220P00390000,390.0,USD,38.84,-2.6699982,-6.432181,31.0,432,36.5,41.5,REGULAR,1734652800,1643655090,0.23842619491577102,False,P
38,SPY241220P00395000,395.0,USD,43.0,-0.8400001500000001,-1.9160588,1.0,816,38.0,43.0,REGULAR,1734652800,1643654733,0.23567964035034103,False,P
39,SPY241220P00400000,400.0,USD,43.0,-2.5200005,-5.5360293,52.0,1051,39.5,43.53,REGULAR,1734652800,1643655936,0.22918709053039502,False,P
40,SPY241220P00405000,405.0,USD,44.96,-7.040001,-13.538464,1.0,17,41.5,46.5,REGULAR,1734652800,1643644955,0.23157506713867101,False,P
41,SPY241220P00410000,410.0,USD,47.48,-1.3199996999999999,-2.7049174,15.0,338,43.0,48.0,REGULAR,1734652800,1643645004,0.22837838279724101,False,P
42,SPY241220P00415000,415.0,USD,47.0,1.8800010999999999,4.166669,13.0,2,45.0,50.0,REGULAR,1734652800,1643648594,0.22681437255859302,False,P
43,SPY241220P00420000,420.0,USD,50.66,-1.8899994,-3.5965736,2.0,199,47.0,51.5,REGULAR,1734652800,1643645122,0.223320144805908,False,P
44,SPY241220P00425000,425.0,USD,52.39,-5.1100006,-8.886958,7.0,36,48.5,53.5,REGULAR,1734652800,1643645234,0.22142044456481902,False,P
45,SPY241220P00430000,430.0,USD,54.33,-6.359997,-10.479481,11.0,190,50.5,55.5,REGULAR,1734652800,1643645194,0.219352899322509,False,P
46,SPY241220P00435000,435.0,USD,60.0,0.0,0.0,1.0,6,54.6,58.0,REGULAR,1734652800,1643298413,0.21881121772766102,False,P
47,SPY241220P00440000,440.0,USD,58.9,-3.539997,-5.6694379999999995,35.0,28,54.5,59.5,REGULAR,1734652800,1643650056,0.21469901519775303,False,P
48,SPY241220P00445000,445.0,USD,60.05,-6.450001,-9.699249,4.0,241,56.5,61.5,REGULAR,1734652800,1643652512,0.212120305633544,False,P
49,SPY241220P00450000,450.0,USD,62.3,-7.950001,-11.316727,6.0,131,58.5,63.5,REGULAR,1734652800,1643656873,0.209366121749877,True,P
50,SPY241220P00455000,455.0,USD,73.98,0.0,0.0,5.0,162,60.5,65.5,REGULAR,1734652800,1643053402,0.20644409286499002,True,P
51,SPY241220P00460000,460.0,USD,67.25,-5.580002,-7.6616800000000005,8.0,1080,65.0,68.0,REGULAR,1734652800,1643649757,0.204994522399902,True,P
52,SPY241220P00465000,465.0,USD,68.97,-7.3899994,-9.677841,46.0,45,64.5,69.5,REGULAR,1734652800,1643649221,0.20006979747772202,True,P
53,SPY241220P00470000,470.0,USD,71.25,-13.75,-16.176472,15.0,93,67.0,72.0,REGULAR,1734652800,1643648412,0.19825020507812502,True,P
54,SPY241220P00475000,475.0,USD,70.33,-12.720001,-15.316075,2.0,66,71.54,74.0,REGULAR,1734652800,1643652192,0.194603390960693,True,P
55,SPY241220P00480000,480.0,USD,77.45,0.0,0.0,5.0,29,71.5,76.5,REGULAR,1734652800,1642781326,0.192394703330993,True,P
56,SPY241220P00485000,485.0,USD,86.52,0.0,0.0,1.0,38,74.0,79.0,REGULAR,1734652800,1643050606,0.189987653427124,True,P
57,SPY241220P00490000,490.0,USD,78.41,-12.089996,-13.359112,4.0,24,76.5,81.5,REGULAR,1734652800,1643662914,0.187370797271728,True,P
58,SPY241220P00495000,495.0,USD,76.25,0.0,0.0,,9,79.0,84.0,REGULAR,1734652800,1642482266,0.184547949523925,True,P
59,SPY241220P00500000,500.0,USD,87.0,-2.9800034,-3.3118505,2.0,85,82.0,87.0,REGULAR,1734652800,1643663208,0.183167042922973,True,P
60,SPY241220P00505000,505.0,USD,90.0,4.550003,5.324755,1.0,1,84.5,89.5,REGULAR,1734652800,1643648139,0.17989406539916902,True,P
61,SPY241220P00515000,515.0,USD,97.91,0.0,0.0,1.0,1,90.5,95.5,REGULAR,1734652800,1643404241,0.17603363037109301,True,P
62,SPY241220P00520000,520.0,USD,92.45,0.0,0.0,4.0,32,93.5,98.5,REGULAR,1734652800,1642691449,0.173760093536376,True,P
63,SPY241220P00525000,525.0,USD,110.5,0.0,0.0,1.0,53,97.0,102.0,REGULAR,1734652800,1643401057,0.173004791030883,True,P
64,SPY241220P00535000,535.0,USD,93.95,0.0,0.0,1.0,1,107.4,117.4,REGULAR,1734652800,1640965844,0.20062292304992602,True,P
65,SPY241220P00540000,540.0,USD,130.39,0.0,0.0,1.0,1,107.0,112.0,REGULAR,1734652800,1643042978,0.167641380310058,True,P
66,SPY241220P00550000,550.0,USD,120.0,-10.360001,-7.9472237,1.0,11,114.0,119.0,REGULAR,1734652800,1643647926,0.16409374732971102,True,P
67,SPY241220P00560000,560.0,USD,115.5,0.0,0.0,,10,130.19,140.19,REGULAR,1734652800,1640193604,0.21330284996032703,True,P
68,SPY241220P00570000,570.0,USD,131.5,12.470001,10.476352,1.0,2,129.0,134.0,REGULAR,1734652800,1643650024,0.157975034103393,True,P
69,SPY241220P00600000,600.0,USD,177.1,0.0,0.0,1.0,10,154.5,159.5,REGULAR,1734652800,1643230080,0.15549550567626902,True,P
70,SPY241220P00605000,605.0,USD,163.23,5.4299927,3.4410600000000002,4.0,7,159.0,164.0,REGULAR,1734652800,1643653966,0.15572438522338802,True,P
71,SPY241220P00610000,610.0,USD,188.23,0.0,0.0,,1,163.5,168.5,REGULAR,1734652800,1643042253,0.155808307723999,True,P
72,SPY241220P00615000,615.0,USD,178.36,0.0,0.0,2.0,1,168.0,173.0,REGULAR,1734652800,1642777966,0.15573964385986303,True,P
73,SPY241220P00620000,620.0,USD,182.23,0.0,0.0,1.0,1,173.0,178.0,REGULAR,1734652800,1642777861,0.158417534561157,True,P
74,SPY241220P00625000,625.0,USD,187.38,0.0,0.0,2.0,2,177.5,182.5,REGULAR,1734652800,1642777966,0.15813524978637603,True,P
75,SPY241220P00630000,630.0,USD,191.25,0.0,0.0,1.0,1,182.0,187.0,REGULAR,1734652800,1642777861,0.15769274932861302,True,P
76,SPY241220P00635000,635.0,USD,197.37,16.919998,9.376558,1.0,1,187.0,192.0,REGULAR,1734652800,1642604560,0.160210424346923,True,P
77,SPY241220P00640000,640.0,USD,206.55,0.0,0.0,1.0,2,191.5,196.5,REGULAR,1734652800,1643136126,0.15952378570556602,True,P
78,SPY241220P00645000,645.0,USD,206.57,17.020004,8.979163,1.0,1,196.5,201.5,REGULAR,1734652800,1642604560,0.161965167541503,True,P
79,SPY241220P00650000,650.0,USD,216.0,0.0,0.0,1.0,12,201.0,206.0,REGULAR,1734652800,1643136126,0.161034390716552,True,P
80,SPY241220P00700000,700.0,USD,238.7,0.0,0.0,2.0,8,250.0,255.0,REGULAR,1734652800,1641825001,0.175774233551025,True,P
81,SPY241220P00710000,710.0,USD,277.19,0.0,0.0,4.0,7,260.0,265.0,REGULAR,1734652800,1643306096,0.17986354812622002,True,P
82,SPY241220P00715000,715.0,USD,246.07,0.0,0.0,1.0,3,265.0,270.0,REGULAR,1734652800,1642013518,0.18187768814086902,True,P
83,SPY241220P00720000,720.0,USD,287.09,0.0,0.0,4.0,8,270.0,275.0,REGULAR,1734652800,1643306096,0.18386131088256802,True,P
0,SPY241220C00200000,200.0,USD,234.7,0.0,0.0,1.0,24,247.5,252.5,REGULAR,1734652800,1643380417,0.280097531127929,True,C
1,SPY241220C00215000,215.0,USD,255.78,0.0,0.0,3.0,6,234.0,239.0,REGULAR,1734652800,1641502160,0.28421736297607403,True,C
2,SPY241220C00220000,220.0,USD,228.71,3.2700043,1.4504987,1.0,7,229.5,234.5,REGULAR,1734652800,1643641460,0.28397322479248,True,C
3,SPY241220C00225000,225.0,USD,221.01,0.0,0.0,1.0,8,225.0,230.0,REGULAR,1734652800,1643225504,0.2831797756958,True,C
