Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
0.00,282.67,87.84%,0.99000,0.00012,-0.02187,0.05845,N/A,185.00,0.10,0.10,65.64%,-0.00196,0.00004,-0.00507,0.01505,11/12/21
199.92,277.67,85.53%,0.98973,0.00013,-0.02181,0.05994,02/10/21,190.00,0.11,0.10,64.17%,-0.00209,0.00004,-0.00527,0.01600,11/10/21
251.65,272.67,83.27%,0.98945,0.00014,-0.02175,0.06146,09/16/21,195.00,0.13,0.12,63.00%,-0.00232,0.00005,-0.00568,0.01755,11/10/21
265.57,267.67,81.08%,0.98917,0.00014,-0.02169,0.06301,11/04/21,200.00,0.14,0.14,62.56%,-0.00280,0.00006,-0.00668,0.02079,11/12/21
0.00,262.68,79.01%,0.98882,0.00015,-0.02176,0.06487,N/A,205.00,0.15,0.15,61.30%,-0.00304,0.00006,-0.00706,0.02242,11/12/21
0.00,257.68,76.92%,0.98852,0.00016,-0.02170,0.06650,N/A,210.00,0.15,0.15,59.61%,-0.00313,0.00007,-0.00704,0.02299,11/12/21
0.00,252.68,74.95%,0.98815,0.00017,-0.02176,0.06845,N/A,215.00,0.20,0.18,58.96%,-0.00364,0.00008,-0.00798,0.02635,11/10/21
0.00,247.68,73.03%,0.98777,0.00018,-0.02182,0.07046,N/A,220.00,0.19,0.19,57.87%,-0.00400,0.00008,-0.00852,0.02866,11/12/21
218.93,242.69,71.21%,0.98732,0.00019,-0.02200,0.07283,09/10/21,225.00,0.22,0.21,56.75%,-0.00437,0.00009,-0.00905,0.03102,11/12/21
147.16,237.70,69.29%,0.98697,0.00020,-0.02192,0.07465,03/04/21,230.00,0.25,0.23,55.77%,-0.00484,0.00010,-0.00974,0.03398,11/10/21
210.67,232.71,67.54%,0.98649,0.00021,-0.02209,0.07715,08/13/21,235.00,0.25,0.25,54.88%,-0.00541,0.00012,-0.01059,0.03752,11/12/21
206.62,227.72,65.89%,0.98593,0.00022,-0.02239,0.08004,09/16/21,240.00,0.34,0.27,53.83%,-0.00591,0.00013,-0.01124,0.04060,11/10/21
184.01,222.73,64.20%,0.98541,0.00024,-0.02255,0.08270,10/04/21,245.00,0.39,0.29,52.87%,-0.00651,0.00014,-0.01204,0.04428,11/10/21
190.35,217.74,62.54%,0.98488,0.00025,-0.02271,0.08544,10/14/21,250.00,0.34,0.32,51.78%,-0.00706,0.00016,-0.01266,0.04751,11/11/21
191.59,212.76,60.96%,0.98377,0.00027,-0.02349,0.09115,09/16/21,255.00,0.33,0.34,50.87%,-0.00779,0.00017,-0.01358,0.05186,11/12/21
187.32,207.77,59.40%,0.98311,0.00029,-0.02375,0.09447,09/16/21,260.00,0.36,0.37,49.93%,-0.00856,0.00019,-0.01447,0.05630,11/12/21
188.66,202.79,57.91%,0.98235,0.00031,-0.02412,0.09824,09/02/21,265.00,0.52,0.41,48.95%,-0.00935,0.00021,-0.01533,0.06083,11/10/21
182.55,197.81,56.44%,0.98141,0.00033,-0.02461,0.10293,09/01/21,270.00,0.49,0.44,48.03%,-0.01026,0.00023,-0.01632,0.06597,11/11/21
149.40,192.83,54.98%,0.98058,0.00036,-0.02495,0.10697,06/11/21,275.00,0.47,0.47,47.01%,-0.01111,0.00026,-0.01713,0.07073,11/12/21
166.50,187.86,53.58%,0.97965,0.00038,-0.02540,0.11150,10/15/21,280.00,0.53,0.53,46.36%,-0.01254,0.00029,-0.01876,0.07854,11/12/21
172.64,182.89,52.24%,0.97860,0.00041,-0.02595,0.11653,10/29/21,285.00,0.55,0.55,45.16%,-0.01329,0.00031,-0.01923,0.08260,11/12/21
176.45,178.04,51.85%,0.97455,0.00048,-0.03022,0.13599,11/10/21,290.00,0.58,0.61,44.36%,-0.01472,0.00035,-0.02063,0.09019,11/12/21
146.97,173.06,50.37%,0.97356,0.00051,-0.03034,0.14058,08/05/21,295.00,0.62,0.66,43.47%,-0.01611,0.00038,-0.02185,0.09744,11/12/21
160.30,168.11,49.17%,0.97193,0.00055,-0.03131,0.14800,11/01/21,300.00,0.70,0.70,42.50%,-0.01746,0.00042,-0.02289,0.10439,11/12/21
153.38,163.15,47.87%,0.97045,0.00059,-0.03192,0.15466,10/28/21,305.00,0.76,0.76,41.64%,-0.01914,0.00046,-0.02427,0.11292,11/12/21
157.88,158.19,46.57%,0.96852,0.00063,-0.03277,0.16344,11/12/21,310.00,0.88,0.83,40.79%,-0.02099,0.00051,-0.02572,0.12209,11/10/21
132.11,153.24,45.31%,0.96681,0.00068,-0.03342,0.17096,09/16/21,315.00,0.98,0.89,39.90%,-0.02291,0.00056,-0.02710,0.13146,11/11/21
142.16,148.26,43.96%,0.96525,0.00073,-0.03374,0.17774,11/03/21,320.00,0.96,0.96,39.01%,-0.02501,0.00062,-0.02854,0.14151,11/12/21
145.61,143.34,42.86%,0.96289,0.00079,-0.03491,0.18783,11/05/21,325.00,1.05,1.04,38.13%,-0.02730,0.00068,-0.03002,0.15224,11/12/21
139.34,138.37,41.51%,0.96057,0.00086,-0.03548,0.19789,11/08/21,330.00,1.12,1.12,37.27%,-0.02987,0.00075,-0.03165,0.16409,11/12/21
106.66,133.42,40.24%,0.95845,0.00093,-0.03598,0.20669,10/07/21,335.00,1.35,1.21,36.41%,-0.03266,0.00083,-0.03330,0.17665,11/11/21
125.34,128.50,39.14%,0.95564,0.00100,-0.03708,0.21821,11/11/21,340.00,1.27,1.31,35.56%,-0.03576,0.00091,-0.03507,0.19033,11/12/21
109.06,123.56,37.97%,0.95215,0.00110,-0.03827,0.23259,09/09/21,345.00,1.42,1.42,34.73%,-0.03920,0.00101,-0.03693,0.20514,11/12/21
0.00,122.59,37.76%,0.95146,0.00112,-0.03854,0.23530,N/A,346.00,1.73,1.44,34.54%,-0.03987,0.00103,-0.03725,0.20799,11/10/21
0.00,121.60,37.53%,0.95086,0.00114,-0.03871,0.23770,N/A,347.00,1.47,1.47,34.41%,-0.04073,0.00105,-0.03776,0.21164,11/12/21
0.00,120.62,37.30%,0.95024,0.00115,-0.03889,0.24011,N/A,348.00,1.64,1.49,34.22%,-0.04142,0.00107,-0.03807,0.21451,11/05/21
0.00,119.64,37.09%,0.94954,0.00117,-0.03914,0.24287,N/A,349.00,1.50,1.50,33.99%,-0.04192,0.00109,-0.03819,0.21661,11/12/21
117.98,118.66,36.88%,0.94883,0.00119,-0.03939,0.24565,11/09/21,350.00,1.51,1.54,33.89%,-0.04299,0.00111,-0.03887,0.22109,11/12/21
0.00,117.67,36.64%,0.94819,0.00121,-0.03956,0.24813,N/A,351.00,1.56,1.56,33.70%,-0.04369,0.00113,-0.03917,0.22401,11/12/21
110.84,116.69,36.43%,0.94747,0.00123,-0.03980,0.25094,11/02/21,352.00,1.73,1.59,33.56%,-0.04459,0.00116,-0.03965,0.22772,11/10/21
114.73,115.71,36.21%,0.94673,0.00126,-0.04005,0.25378,11/12/21,353.00,1.62,1.62,33.41%,-0.04550,0.00118,-0.04012,0.23144,11/12/21
